TIGR00001	50S ribosomal protein L35
TIGR00128	[acyl-carrier-protein] S-malonyltransferase
TIGR00129	formate dehydrogenase accessory sulfurtransferase FdhD
TIGR00130	coenzyme F420-reducing hydrogenase, FrhD protein
TIGR00131	galactokinase
TIGR00132	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A
TIGR00133	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit B
TIGR00134	Glu-tRNA(Gln) amidotransferase GatDE subunit E
TIGR00135	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C
TIGR00136	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
TIGR00137	FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR00139	homoaconitase
TIGR00140	HyaD/HybD family hydrogenase maturation endopeptidase
TIGR00142	hydrogenase maturation peptidase HycI
TIGR00143	carbamoyltransferase HypF
TIGR00145	FTR1 family protein
TIGR00147	YegS/Rv2252/BmrU family lipid kinase
TIGR00148	UbiD family decarboxylase
TIGR00150	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152	dephospho-CoA kinase
TIGR00153	TIGR00153 family protein
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00155	PqiA/YebS family transporter subunit
TIGR00156	YgiW/YdeI family stress tolerance OB fold protein
TIGR00157	ribosome small subunit-dependent GTPase A
TIGR00158	50S ribosomal protein L9
TIGR00159	TIGR00159 family protein
TIGR00160	methylglyoxal synthase
TIGR00161	proteasome assembly chaperone family protein
TIGR00162	proteasome assembly chaperone family protein
TIGR00163	phosphatidylserine decarboxylase
TIGR00164	phosphatidylserine decarboxylase family protein
TIGR00165	30S ribosomal protein S18
TIGR00166	30S ribosomal protein S6
TIGR00167	ketose-bisphosphate aldolase
TIGR00168	translation initiation factor IF-3
TIGR00169	3-isopropylmalate dehydrogenase
TIGR00170	3-isopropylmalate dehydratase large subunit
TIGR00171	3-isopropylmalate dehydratase small subunit
TIGR00172	septum formation protein Maf
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
TIGR00175	isocitrate dehydrogenase (NAD(+))
TIGR00176	molybdopterin-guanine dinucleotide biosynthesis protein B
TIGR00178	NADP-dependent isocitrate dehydrogenase
TIGR00179	UDP-N-acetylmuramate dehydrogenase
TIGR00180	ParB/RepB/Spo0J family partition protein
TIGR00181	oligoendopeptidase F
TIGR00182	phosphate acyltransferase PlsX
TIGR00183	isocitrate dehydrogenase (NADP(+))
TIGR00184	adenylosuccinate synthase
TIGR00185	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
TIGR00186	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
TIGR00187	riboflavin synthase
TIGR00188	ribonuclease P protein component
TIGR00189	acyl-CoA thioesterase II
TIGR00190	phosphomethylpyrimidine synthase
TIGR00191	homoserine kinase
TIGR00192	urease subunit beta
TIGR00193	urease subunit gamma
TIGR00194	excinuclease ABC subunit C
TIGR00195	exodeoxyribonuclease III
TIGR00196	NAD(P)H-hydrate dehydratase
TIGR00197	NAD(P)H-hydrate epimerase
TIGR00198	catalase/peroxidase HPI
TIGR00199	nicotinamide-nucleotide amidohydrolase family protein
TIGR00200	CinA family nicotinamide mononucleotide deamidase-related protein
TIGR00201	ComF family protein
TIGR00202	carbon storage regulator
TIGR00203	cytochrome d ubiquinol oxidase subunit II
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase
TIGR00205	flagellar hook-basal body complex protein FliE
TIGR00206	flagellar M-ring protein FliF
TIGR00207	flagellar motor switch protein FliG
TIGR00208	flagellar export chaperone FliS
TIGR00209	galactose-1-phosphate uridylyltransferase
TIGR00210	sodium/glutamate symporter
TIGR00211	glycine--tRNA ligase subunit beta
TIGR00212	hydroxymethylbilane synthase
TIGR00213	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase
TIGR00214	lipoyl(octanoyl) transferase
TIGR00215	lipid-A-disaccharide synthase
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217	4-alpha-glucanotransferase
TIGR00218	mannose-6-phosphate isomerase, class I
TIGR00219	rod shape-determining protein MreC
TIGR00220	large conductance mechanosensitive channel protein MscL
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223	aspartate 1-decarboxylase
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)
TIGR00228	crossover junction endodeoxyribonuclease RuvC
TIGR00229	PAS domain S-box protein
TIGR00230	DNA/RNA nuclease SfsA
TIGR00231	GTP-binding protein
TIGR00232	transketolase
TIGR00233	tryptophan--tRNA ligase
TIGR00234	tyrosine--tRNA ligase
TIGR00235	uridine kinase
TIGR00236	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
TIGR00237	exodeoxyribonuclease VII large subunit
TIGR00238	KamA family radical SAM protein
TIGR00239	2-oxoglutarate dehydrogenase E1 component
TIGR00240	aspartate carbamoyltransferase regulatory subunit
TIGR00242	division/cell wall cluster transcriptional repressor MraZ
TIGR00243	1-deoxy-D-xylulose-5-phosphate reductoisomerase
TIGR00244	transcriptional regulator NrdR
TIGR00245	iron export ABC transporter permease subunit FetB
TIGR00246	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
TIGR00247	endolytic transglycosylase MltG
TIGR00249	phosphohistidine phosphatase SixA
TIGR00250	Holliday junction resolvase RuvX
TIGR00251	YggU family protein
TIGR00252	YraN family protein
TIGR00253	ribosome assembly RNA-binding protein YhbY
TIGR00254	diguanylate cyclase
TIGR00255	YicC family protein
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase
TIGR00257	YigZ family protein
TIGR00258	inosine/xanthosine triphosphatase
TIGR00260	threonine synthase
TIGR00261	TraB family protein
TIGR00262	tryptophan synthase subunit alpha
TIGR00263	tryptophan synthase subunit beta
TIGR00264	nascent polypeptide-associated complex protein
TIGR00266	TIGR00266 family protein
TIGR00267	TIGR00267 family protein
TIGR00268	ATP-dependent sacrificial sulfur transferase LarE
TIGR00269	TIGR00269 family protein
TIGR00270	TIGR00270 family protein
TIGR00272	diphthamide biosynthesis protein 2
TIGR00273	iron-sulfur cluster-binding protein
TIGR00274	N-acetylmuramic acid 6-phosphate etherase
TIGR00275	aminoacetone oxidase family FAD-binding enzyme
TIGR00276	tRNA epoxyqueuosine(34) reductase QueG
TIGR00277	HDIG domain-containing protein
TIGR00278	membrane protein insertion efficiency factor YidD
TIGR00279	50S ribosomal protein L16
TIGR00280	50S ribosomal protein L37Ae
TIGR00281	SMC-Scp complex subunit ScpB
TIGR00282	TIGR00282 family metallophosphoesterase
TIGR00283	aminoacyl-tRNA hydrolase
TIGR00284	dihydropteroate synthase-like protein
TIGR00285	DNA-binding protein Alba
TIGR00286	arginine decarboxylase, pyruvoyl-dependent
TIGR00287	CRISPR-associated endonuclease Cas1
TIGR00288	TIGR00288 family NYN domain-containing protein
TIGR00289	TIGR00289 family protein
TIGR00290	diphthine--ammonia ligase
TIGR00291	ribosome assembly factor SBDS
TIGR00292	thiazole biosynthesis enzyme
TIGR00293	prefoldin subunit alpha
TIGR00294	GTP cyclohydrolase I FolE2
TIGR00295	TIGR00295 family protein
TIGR00296	TIGR00296 family protein
TIGR00297	TIGR00297 family protein
TIGR00298	2-phosphosulfolactate phosphatase
TIGR00299	nickel pincer cofactor biosynthesis protein LarC
TIGR00300	TIGR00300 family protein
TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
TIGR00303	TIGR00303 family protein
TIGR00304	TIGR00304 family protein
TIGR00305	putative toxin-antitoxin system toxin component, PIN family
TIGR00306	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
TIGR00307	30S ribosomal protein S8e
TIGR00308	tRNA (guanine(10)-N(2))-dimethyltransferase
TIGR00309	V-type ATP synthase subunit D
TIGR00310	ZPR1 zinc finger domain-containing protein
TIGR00311	translation initiation factor IF-2 subunit beta
TIGR00312	cobalamin biosynthesis protein CbiD
TIGR00313	cobyric acid synthase CobQ
TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon
TIGR00315	CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon
TIGR00316	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex subunit beta
TIGR00317	adenosylcobinamide-GDP ribazoletransferase
TIGR00318	class IV adenylate cyclase
TIGR00319	desulfoferrodoxin FeS4 iron-binding domain-containing protein
TIGR00320	desulfoferrodoxin
TIGR00321	deoxyhypusine synthase
TIGR00323	translation initiation factor IF-6
TIGR00324	tRNA-intron lyase
TIGR00325	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR00326	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
TIGR00327	protein translocase SEC61 complex subunit gamma
TIGR00328	flagellar biosynthesis protein FlhB
TIGR00329	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
TIGR00330	class II fructose-bisphosphatase
TIGR00331	heat-inducible transcription repressor HrcA
TIGR00333	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI
TIGR00334	ribonuclease M5
TIGR00335	DNA primase catalytic subunit PriS
TIGR00336	orotate phosphoribosyltransferase
TIGR00337	CTP synthase (glutamine hydrolyzing)
TIGR00338	phosphoserine phosphatase SerB
TIGR00339	sulfate adenylyltransferase
TIGR00341	TIGR00341 family protein
TIGR00342	tRNA 4-thiouridine(8) synthase ThiI
TIGR00343	pyridoxal 5'-phosphate synthase lyase subunit PdxS
TIGR00344	alanine--tRNA ligase
TIGR00346	azaleucine resistance protein AzlC
TIGR00347	dethiobiotin synthase
TIGR00348	HsdR family type I site-specific deoxyribonuclease
TIGR00351	respiratory nitrate reductase subunit gamma
TIGR00353	heme lyase CcmF/NrfE family subunit
TIGR00354	DNA polymerase II large subunit
TIGR00355	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	peptide-methionine (R)-S-oxide reductase
TIGR00358	VacB/RNase II family 3'-5' exoribonuclease
TIGR00359	PTS cellobiose transporter subunit IIC
TIGR00361	DNA internalization-related competence protein ComEC/Rec2
TIGR00362	chromosomal replication initiator protein DnaA
TIGR00363	MetQ/NlpA family lipoprotein
TIGR00364	7-cyano-7-deazaguanine synthase QueC
TIGR00365	Grx4 family monothiol glutaredoxin
TIGR00366	TIGR00366 family protein
TIGR00369	hotdog fold thioesterase
TIGR00370	5-oxoprolinase subunit PxpB
TIGR00372	CRISPR-associated protein Cas4
TIGR00373	transcription factor E
TIGR00374	TIGR00374 family protein
TIGR00375	TIGR00375 family protein
TIGR00376	IGHMBP2 family helicase
TIGR00378	calcium/proton exchanger
TIGR00379	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)
TIGR00380	cobalamin biosynthesis protein CobD
TIGR00381	CO dehydrogenase/acetyl-CoA synthase subunit delta
TIGR00382	ATP-dependent protease ATP-binding subunit ClpX
TIGR00383	magnesium and cobalt transport protein CorA
TIGR00385	DsbE family thiol:disulfide interchange protein
TIGR00387	glycolate oxidase subunit GlcD
TIGR00388	glycine--tRNA ligase subunit alpha
TIGR00389	glycine--tRNA ligase
TIGR00390	HslU--HslV peptidase ATPase subunit
TIGR00392	isoleucine--tRNA ligase
TIGR00393	KpsF/GutQ family sugar-phosphate isomerase
TIGR00395	leucine--tRNA ligase
TIGR00396	leucine--tRNA ligase
TIGR00397	MauM/NapG family ferredoxin-type protein
TIGR00398	methionine--tRNA ligase
TIGR00399	methionine--tRNA ligase subunit beta
TIGR00400	magnesium transporter
TIGR00401	peptide-methionine (S)-S-oxide reductase
TIGR00402	ferredoxin-type protein NapF
TIGR00403	NAD(P)H-quinone oxidoreductase subunit I
TIGR00405	transcription elongation factor Spt5
TIGR00406	50S ribosomal protein L11 methyltransferase
TIGR00407	glutamate-5-semialdehyde dehydrogenase
TIGR00408	proline--tRNA ligase
TIGR00409	proline--tRNA ligase
TIGR00413	septal ring lytic transglycosylase RlpA family protein
TIGR00414	serine--tRNA ligase
TIGR00415	serine--tRNA ligase
TIGR00416	DNA repair protein RadA
TIGR00417	spermidine synthase
TIGR00418	threonine--tRNA ligase
TIGR00419	triose-phosphate isomerase
TIGR00420	tRNA 2-thiouridine(34) synthase MnmA
TIGR00421	UbiX family flavin prenyltransferase
TIGR00422	valine--tRNA ligase
TIGR00423	CofH family radical SAM protein
TIGR00424	5'-adenylylsulfate reductase, thioredoxin-independent
TIGR00425	RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5
TIGR00427	NAAT family transporter
TIGR00430	tRNA guanosine(34) transglycosylase Tgt
TIGR00431	tRNA pseudouridine(55) synthase TruB
TIGR00432	tRNA guanosine(15) transglycosylase TgtA
TIGR00433	biotin synthase BioB
TIGR00435	cysteine--tRNA ligase
TIGR00436	GTPase Era
TIGR00437	ferrous iron transport protein B
TIGR00438	23S rRNA (uridine(2552)-2'-O)-methyltransferase
TIGR00439	cell division protein FtsX
TIGR00440	glutamine--tRNA ligase
TIGR00441	D-sedoheptulose 7-phosphate isomerase
TIGR00442	histidine--tRNA ligase
TIGR00443	ATP phosphoribosyltransferase regulatory subunit
TIGR00444	MazG family protein
TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase
TIGR00446	NOL1/NOP2/sun family putative RNA methylase
TIGR00447	aminoacyl-tRNA hydrolase
TIGR00448	DNA-directed RNA polymerase
TIGR00449	tRNA-guanine transglycosylase
TIGR00450	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
TIGR00452	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
TIGR00454	TIGR00454 family protein
TIGR00455	adenylyl-sulfate kinase
TIGR00456	arginine--tRNA ligase
TIGR00457	asparagine--tRNA ligase
TIGR00458	aspartate--tRNA(Asn) ligase
TIGR00459	aspartate--tRNA ligase
TIGR00460	methionyl-tRNA formyltransferase
TIGR00461	glycine dehydrogenase (aminomethyl-transferring)
TIGR00462	EF-P lysine aminoacylase GenX
TIGR00463	glutamate--tRNA ligase
TIGR00464	glutamate--tRNA ligase
TIGR00465	ketol-acid reductoisomerase
TIGR00466	3-deoxy-manno-octulosonate cytidylyltransferase
TIGR00467	lysine--tRNA ligase
TIGR00468	phenylalanine--tRNA ligase subunit alpha
TIGR00469	phenylalanine--tRNA ligase
TIGR00470	O-phosphoserine--tRNA ligase
TIGR00471	phenylalanine--tRNA ligase subunit beta
TIGR00472	phenylalanine--tRNA ligase subunit beta
TIGR00473	CDP-diacylglycerol--serine O-phosphatidyltransferase
TIGR00474	L-seryl-tRNA(Sec) selenium transferase
TIGR00475	selenocysteine-specific translation elongation factor
TIGR00476	selenide, water dikinase SelD
TIGR00477	tellurite resistance methyltransferase TehB
TIGR00478	TlyA family rRNA (cytidine-2'-O)-methyltransferase
TIGR00479	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
TIGR00481	YbhB/YbcL family Raf kinase inhibitor-like protein
TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00483	translation elongation factor EF-1 subunit alpha
TIGR00484	elongation factor G
TIGR00485	elongation factor Tu
TIGR00486	Nif3-like dinuclear metal center hexameric protein
TIGR00487	translation initiation factor IF-2
TIGR00489	elongation factor 1-beta
TIGR00490	elongation factor EF-2
TIGR00491	translation initiation factor IF-2
TIGR00492	alanine racemase
TIGR00493	ATP-dependent Clp endopeptidase proteolytic subunit ClpP
TIGR00494	fluoride efflux transporter CrcB
TIGR00496	ribosome recycling factor
TIGR00497	type I restriction-modification system subunit M
TIGR00498	repressor LexA
TIGR00499	lysine--tRNA ligase
TIGR00500	type I methionyl aminopeptidase
TIGR00501	type II methionyl aminopeptidase
TIGR00502	glucosamine-6-phosphate deaminase
TIGR00503	peptide chain release factor 3
TIGR00504	pyroglutamyl-peptidase I
TIGR00505	GTP cyclohydrolase II
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase
TIGR00507	shikimate dehydrogenase
TIGR00508	adenosylmethionine--8-amino-7-oxononanoate transaminase
TIGR00509	molybdopterin guanine dinucleotide-containing S/N-oxide reductase
TIGR00510	lipoyl synthase
TIGR00511	ribose 1,5-bisphosphate isomerase
TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase
TIGR00513	acetyl-CoA carboxylase carboxyl transferase subunit alpha
TIGR00514	acetyl-CoA carboxylase biotin carboxylase subunit
TIGR00515	acetyl-CoA carboxylase, carboxyltransferase subunit beta
TIGR00516	holo-[acyl-carrier-protein] synthase
TIGR00517	acyl carrier protein
TIGR00518	alanine dehydrogenase
TIGR00519	type I asparaginase
TIGR00520	type II asparaginase
TIGR00521	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
TIGR00522	diphthine synthase
TIGR00523	translation initiation factor eIF-1A
TIGR00525	dihydroneopterin aldolase
TIGR00526	FolB domain-containing protein
TIGR00527	glycine cleavage system protein GcvH
TIGR00528	glycine cleavage system aminomethyltransferase GcvT
TIGR00529	TIGR00529 family membrane protein
TIGR00530	1-acylglycerol-3-phosphate O-acyltransferase
TIGR00531	acetyl-CoA carboxylase biotin carboxyl carrier protein
TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
TIGR00533	hydroxymethylglutaryl-CoA reductase (NADPH)
TIGR00534	glucose-6-phosphate dehydrogenase assembly protein OpcA
TIGR00535	adenosylmethionine decarboxylase
TIGR00536	HemK family protein methyltransferase
TIGR00538	oxygen-independent coproporphyrinogen III oxidase
TIGR00539	radical SAM family heme chaperone HemW
TIGR00541	histidine decarboxylase, pyruvoyl type
TIGR00543	isochorismate synthase
TIGR00544	prolipoprotein diacylglyceryl transferase
TIGR00545	lipoate--protein ligase
TIGR00546	apolipoprotein N-acyltransferase
TIGR00547	outer membrane lipoprotein carrier protein LolA
TIGR00548	outer membrane lipoprotein LolB
TIGR00549	mevalonate kinase
TIGR00550	quinolinate synthase
TIGR00551	L-aspartate oxidase
TIGR00552	NAD(+) synthase
TIGR00553	aminodeoxychorismate synthase component I
TIGR00554	type I pantothenate kinase
TIGR00555	type II pantothenate kinase
TIGR00557	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR00558	pyridoxamine 5'-phosphate oxidase
TIGR00559	pyridoxine 5'-phosphate synthase
TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
TIGR00562	protoporphyrinogen oxidase
TIGR00563	16S rRNA (cytosine(967)-C(5))-methyltransferase
TIGR00564	anthranilate synthase component I
TIGR00565	anthranilate synthase component I
TIGR00567	DNA-3-methyladenine glycosylase
TIGR00568	alkylated DNA repair protein AlkB
TIGR00570	CDK-activating kinase assembly factor MAT1
TIGR00571	Dam family site-specific DNA-(adenine-N6)-methyltransferase
TIGR00574	ATP-dependent DNA ligase
TIGR00575	DNA ligase (NAD(+)) LigA
TIGR00576	dUTP diphosphatase
TIGR00577	DNA-formamidopyrimidine glycosylase
TIGR00580	transcription-repair coupling factor
TIGR00581	cyclic pyranopterin monophosphate synthase MoaC
TIGR00583	DNA repair protein (mre11)
TIGR00585	DNA mismatch repair endonuclease MutL
TIGR00586	8-oxo-dGTP diphosphatase MutT
TIGR00587	deoxyribonuclease IV
TIGR00589	methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR00590	proliferating cell nuclear antigen (pcna)
TIGR00591	deoxyribodipyrimidine photo-lyase
TIGR00593	DNA polymerase I
TIGR00594	DNA polymerase III subunit alpha
TIGR00595	primosomal protein N'
TIGR00598	DNA repair protein
TIGR00599	DNA repair protein rad18
TIGR00601	UV excision repair protein Rad23
TIGR00608	DNA repair protein RadC
TIGR00609	exodeoxyribonuclease V subunit beta
TIGR00611	DNA replication and repair protein RecF
TIGR00612	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR00613	DNA repair protein RecO
TIGR00614	RecQ family ATP-dependent DNA helicase
TIGR00615	recombination protein RecR
TIGR00618	exonuclease subunit SbcC
TIGR00619	exonuclease subunit SbcD
TIGR00621	single-stranded DNA-binding protein
TIGR00623	cell division inhibitor SulA
TIGR00624	DNA-3-methyladenine glycosylase I
TIGR00628	uracil-DNA glycosylase
TIGR00629	UV DNA damage repair endonuclease UvsE
TIGR00630	excinuclease ABC subunit A
TIGR00631	excinuclease ABC subunit B
TIGR00632	DNA mismatch endonuclease Vsr
TIGR00634	DNA repair protein RecN
TIGR00635	Holliday junction branch migration DNA helicase RuvB
TIGR00636	cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00639	phosphoribosylglycinamide formyltransferase
TIGR00642	methylmalonyl-CoA mutase small subunit
TIGR00643	DNA helicase RecG
TIGR00644	single-stranded-DNA-specific exonuclease RecJ
TIGR00645	TIGR00645 family protein
TIGR00646	DNA primase-like protein
TIGR00647	DNA-binding protein WhiA
TIGR00648	recombination protein U
TIGR00649	RNase J family beta-CASP ribonuclease
TIGR00651	phosphate acetyltransferase
TIGR00652	diaminopimelate epimerase
TIGR00653	type I glutamate--ammonia ligase
TIGR00654	PhzF family phenazine biosynthesis isomerase
TIGR00655	formyltetrahydrofolate deformylase
TIGR00656	aspartate kinase, monofunctional class
TIGR00657	aspartate kinase
TIGR00658	ornithine carbamoyltransferase
TIGR00659	CidB/LrgB family autolysis modulator
TIGR00663	DNA polymerase III subunit beta
TIGR00664	DNA polymerase III subunit psi
TIGR00665	replicative DNA helicase
TIGR00666	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR00667	leucyl/phenylalanyl-tRNA--protein transferase
TIGR00668	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
